"Q22_6","Q24_1","Q25_1","Q26_1","Q27_1","Q28_1","Q29_1","Q30_1","Q1_1","Q1_2","Q1_3","Q1_4","Q1_5","Q1_6","Q1_7","Q1_8","Q1_9","Q1_10","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q2_6","Q2_7","Q2_8","Q2_9","Q2_10","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10","Q4_1","Q4_2","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q4_10","Q4_11","Q4_12","Q4_13","Q31_1","Q32_1","Q33_1","Q34_1","Q39_1","Q40_1","Q41_1","Q42_1","Q43_2","Q44_1","Q46_1","Q53_1","Q53_2","Q48","Q54_1","Q54_2","Q54_3","Q54_4","Q54_5","Q54_6","Q54_7","Q54_8","Q54_9","Q54_10","Q54_11","Q54_12","Q55","Q56","Q57","Q57_11_TEXT","Q57_12_TEXT","Q58","Q37","Q51","Q59","Q38","survey_administered","survey_duration_num"
"Much less damaging to the environment","Neither more or less nutritious","Less variable in nutritional content","Lower cost","A lower disease risk","Has higher microbiological safety","Has much higher chemical safety","Much more ethical","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Positive","Positive","Very positive","Very positive","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Comfortable","Comfortable","Very comfortable","Very comfortable","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Satisfied","Satisfied","Very satisfied","Very satisfied","Totally agree","Agree","","Totally agree","Agree","Neither agree nor disagree","Totally disagree","Totally disagree","Agree","Disagree","Totally agree","Disagree","Faster growth rates","Much lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Much better for the environment","Less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","More marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Important","Important","Very Important","Important","Very Important","Important","Important","Very Important","Very Important","Very Important","Very Important","Male","19-30","Pig farmer/pig farm manager","","","9-Jan","Yes","Absolutely","Dry feeding","No","electronic",18
"Much less damaging to the environment","Neither more or less nutritious","","Lower cost","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","","More ethical","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Totally agree","Agree","Agree","Agree","Agree","Agree","Disagree","Neither agree nor disagree","","","Agree","","Neither faster nor slower growth rates","","","Lower feed costs","Better for the environment","","","","","","More profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Important","Important","Very Important","Very Important","Important","Very Important","Important","Important","Very Important","Very Important","Very Important","Male","50+","Poultry farmer/poultry farm manager","","","","","","","","electronic",28
"Much less damaging to the environment","More nutritious","Much more variable in nutritional content","Lower cost","A higher disease risk","Has much lower microbiological safety","Has lower chemical safety","More ethical","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","","Agree","Agree","Agree","Agree","","","Neither higher nor lower welfare","Lower feed costs","Better for the environment","","","Less tasty","Neither better nor worse smelling","Less marketable","More profitable","Probably yes","Probably not","Definitely yes","Important","Important","Neither important nor unimportant","Important","Important","Not important","Important","Important","Important","Important","Important","Not important","Male","50+","Other: NOT involved in the animal industry","","","","","","","","electronic",30
"","Neither more or less nutritious","Much more variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","Neither higher nor lower chemical safety","More ethical","Negative","Very positive","Negative","Neither positive nor negative","Very negative","Positive","Very negative","Negative","Positive","Negative","Uncomfortable","Comfortable","Uncomfortable","Neither comfortable nor uncomfortable","Very uncomfortable","Comfortable","Very uncomfortable","Uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Dissatisfied","Very satisfied","Dissatisfied","Neither satisfied nor dissatisfied","Dissatisfied","Very satisfied","Very dissatisfied","Dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Totally agree","Agree","Agree","Totally agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Agree","Agree","Totally agree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","","","","","Less marketable","Neither more nor less profitable","Probably yes","Probably not","Probably yes","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Important","Very Important","Important","Important","Very Important","Male","19-30","Agricultural advisor","","","","","","","","electronic",33
"More damaging to the environment","Less nutritious","Less variable in nutritional content","Costs the same","A higher disease risk","Has lower microbiological safety","Neither higher nor lower chemical safety","","Negative","Positive","Negative","Very negative","Negative","Negative","Very negative","Very negative","Negative","Very negative","Very uncomfortable","Comfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Very dissatisfied","Satisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Disagree","Agree","Disagree","Neither agree nor disagree","Disagree","Totally agree","Totally agree","Agree","Agree","Totally agree","Totally disagree","Totally agree","Faster growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Worse for the environment","Much more fatty","Darker in colour","Less tasty","Much worse smelling","Neither more nor less marketable","","Probably yes","Definitely yes","Definitely not","Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Very Important","Very Important","Very Important","Neither important nor unimportant","Important","Male","31-50","Farmer/farm manager of both pig and poultry","","","1000-4999","No","Definitely not","Dry feeding","Yes","electronic",44
"Less damaging to the environment","Neither more or less nutritious","More variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","Has higher chemical safety","More ethical","Negative","Positive","Negative","Positive","Positive","Positive","Negative","Negative","Positive","Negative","Uncomfortable","Comfortable","Uncomfortable","Comfortable","Comfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Comfortable","Dissatisfied","Satisfied","Dissatisfied","Satisfied","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Agree","Totally agree","Agree","Totally agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Totally agree","Disagree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Male","50+","Other: involved in the animal industry","Livestock lecturer ","","","","","","","electronic",61
"Much less damaging to the environment","More nutritious","Much more variable in nutritional content","Lower cost","A higher disease risk","Has lower microbiological safety","Neither higher nor lower chemical safety","Much more ethical","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Positive","Positive","Very positive","Very positive","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Neither comfortable nor uncomfortable","Very comfortable","Very comfortable","Very comfortable","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Very satisfied","Very satisfied","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Agree","Neither agree nor disagree","Agree","Disagree","Agree","Totally agree","Agree","Faster growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Much better for the environment","Neither more nor less fatty","","More tasty","","Less marketable","More profitable","Probably yes","Probably not","Definitely yes","Important","Very Important","Important","Important","Important","Very Important","Very Important","Important","Important","Important","Important","Important","Male","19-30","Pig farmer/pig farm manager","","","1000-4999","No","Absolutely","Dry feeding","No","electronic",23
"Less damaging to the environment","More nutritious","Neither more or less variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","Has higher chemical safety","More ethical","Neither positive nor negative","Positive","Neither positive nor negative","Neither positive nor negative","Neither positive nor negative","Positive","Neither positive nor negative","Neither positive nor negative","Neither positive nor negative","Neither positive nor negative","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Totally agree","Neither agree nor disagree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Probably yes","Definitely not","Definitely yes","Important","Neither important nor unimportant","Neither important nor unimportant","Important","Important","Neither important nor unimportant","Important","Neither important nor unimportant","Important","Important","Very Important","Important","Male","50+","Other: NOT involved in the animal industry","","Engineer (former pig farmer)","","","","","","electronic",11
"Less damaging to the environment","Less nutritious","","Lower cost","A higher disease risk","Has higher microbiological safety","Has lower chemical safety","More ethical","Negative","Positive","Negative","Negative","Positive","Positive","Negative","Negative","Positive","Negative","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied","Very dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","","Agree","Agree","Agree","Disagree","Neither faster nor slower growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Less fatty","Lighter in colour","","","Less marketable","More profitable","Definitely yes","Probably yes","Definitely yes","Important","Important","Very Important","Very Important","Very Important","Important","Very Important","Important","Very Important","Very Important","Very Important","Very Important","Male","31-50","Pig farmer/pig farm manager","","","5000+","No","Absolutely","Dry feeding","No","electronic",18
"Less damaging to the environment","Less nutritious","Much more variable in nutritional content","","A much higher disease risk","Has lower microbiological safety","Has lower chemical safety","More ethical","Positive","Very positive","Very positive","Positive","Neither positive nor negative","Very positive","Negative","Very positive","Very positive","Positive","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Uncomfortable","Very comfortable","Comfortable","Very comfortable","Very comfortable","Very comfortable","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Satisfied","Very satisfied","Satisfied","Very satisfied","Very satisfied","Very satisfied","Agree","Totally agree","","Agree","Agree","Disagree","Agree","Agree","Neither agree nor disagree","Disagree","Agree","Disagree","","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","More fatty","","","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Probably yes","Important","Important","Very Important","Very Important","Very Important","Important","Very Important","Important","Very Important","Very Important","Very Important","Important","Male","50+","Other: involved in the animal industry","Civil servant","","","","","","","electronic",20
"More damaging to the environment","More nutritious","Less variable in nutritional content","Higher cost","A lower disease risk","","Has lower chemical safety","","Negative","Positive","Negative","Positive","Positive","Positive","Negative","Negative","Positive","Negative","Uncomfortable","Comfortable","Uncomfortable","Comfortable","Comfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Dissatisfied","Satisfied","Dissatisfied","Satisfied","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Probably yes","Definitely not","Definitely yes","Important","Important","Important","Important","Important","Important","Very Important","Important","Important","Important","Very Important","Important","Male","31-50","Agricultural advisor","","","","","","","","electronic",9
"Neither more nor less damaging to the environment","More nutritious","Less variable in nutritional content","Higher cost","A lower disease risk","Has higher microbiological safety","Has higher chemical safety","Neither more or less ethical","Positive","Positive","Positive","Positive","Negative","Very positive","Very negative","Positive","Negative","Positive","Comfortable","Comfortable","Comfortable","Comfortable","Uncomfortable","Very comfortable","Uncomfortable","Comfortable","Uncomfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Dissatisfied","Satisfied","Dissatisfied","Satisfied","Dissatisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Probably yes","Probably yes","Definitely yes","Important","Neither important nor unimportant","Important","Important","Important","Important","Important","Important","Important","Important","Very Important","Important","Male","31-50","Poultry farmer/poultry farm manager","","","","","","","","electronic",27
"Less damaging to the environment","Neither more or less nutritious","Less variable in nutritional content","Much lower cost","A higher disease risk","Has lower microbiological safety","Has lower chemical safety","More ethical","Positive","Positive","Negative","Positive","Negative","Positive","Very negative","Negative","Very negative","Negative","Uncomfortable","Comfortable","Uncomfortable","Neither comfortable nor uncomfortable","Uncomfortable","Comfortable","Very uncomfortable","Very uncomfortable","Neither comfortable nor uncomfortable","Uncomfortable","Dissatisfied","Satisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Dissatisfied","Satisfied","Very dissatisfied","Very dissatisfied","Dissatisfied","Very dissatisfied","Agree","Totally agree","Agree","Agree","Agree","Agree","Totally agree","Agree","Neither agree nor disagree","","Totally agree","Agree","Slower growth rates","Higher feed conversion ratios (less efficient)","Lower welfare","Lower feed costs","Much better for the environment","More fatty","Lighter in colour","","Worse smelling","Less marketable","More profitable","Definitely yes","Probably not","Probably yes","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Very Important","Very Important","Very Important","Important","Male","0-18","Pig farmer/pig farm manager","","","400-999","Yes","Might or might not","Dry feeding","No","electronic",14
"Much less damaging to the environment","Neither more or less nutritious","More variable in nutritional content","Much lower cost","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","Neither higher nor lower chemical safety","More ethical","Negative","Very positive","Negative","Positive","Very negative","Very positive","Very negative","Very negative","Positive","Negative","Uncomfortable","Very comfortable","Very uncomfortable","Comfortable","Very uncomfortable","Very comfortable","Very uncomfortable","Very uncomfortable","Comfortable","Very uncomfortable","Very dissatisfied","Very satisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Very dissatisfied","Very satisfied","Very dissatisfied","Very dissatisfied","Satisfied","Very dissatisfied","Agree","Totally agree","Agree","","","Neither agree nor disagree","Agree","Disagree","Disagree","Agree","Totally agree","Neither agree nor disagree","Neither faster nor slower growth rates","","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","More tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Very Important","Very Important","Important","Very Important","Very Important","Important","Very Important","Very Important","Very Important","Very Important","Important","Male","31-50","Other: NOT involved in the animal industry","","Builder","","","","","","electronic",24
"Less damaging to the environment","","More variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Has higher microbiological safety","Neither higher nor lower chemical safety","More ethical","Positive","Very positive","Positive","Neither positive nor negative","Neither positive nor negative","Positive","Negative","Negative","Positive","Positive","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","","Disagree","Neither agree nor disagree","Agree","Agree","","","Lower welfare","Lower feed costs","Better for the environment","","","","","Less marketable","More profitable","Definitely yes","Probably not","Probably yes","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Very Important","Very Important","Important","Important","Very Important","Male","31-50","Pig farmer/pig farm manager","","","1000-4999","No","Might or might not","Wet feeding","No","electronic",14
"Less damaging to the environment","Less nutritious","Less variable in nutritional content","Much lower cost","A lower disease risk","Neither higher nor lower microbiological safety","Has lower chemical safety","Much more ethical","Negative","Very positive","Negative","Positive","Very positive","Very positive","Very negative","Very negative","Very positive","Negative","Very uncomfortable","Very comfortable","Uncomfortable","Comfortable","Very comfortable","Very comfortable","Very uncomfortable","Uncomfortable","Very comfortable","Uncomfortable","Very dissatisfied","Very satisfied","Very dissatisfied","Satisfied","Very satisfied","Very satisfied","Very dissatisfied","Dissatisfied","Very satisfied","Dissatisfied","Totally agree","Totally agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Totally agree","Agree","Slower growth rates","Higher feed conversion ratios (less efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Very Important","Important","Very Important","Very Important","Very Important","Very Important","Neither important nor unimportant","Very Important","Important","Very Important","Very Important","Male","50+","Pig farmer/pig farm manager","","","5000+","No","Absolutely","Dry feeding","No","electronic",46
"Less damaging to the environment","","More variable in nutritional content","","A much higher disease risk","Neither higher nor lower microbiological safety","Neither higher nor lower chemical safety","More ethical","Negative","Very positive","Negative","Positive","Very positive","Very positive","Very negative","Negative","Very positive","Negative","Uncomfortable","Very comfortable","Very uncomfortable","Comfortable","Very comfortable","Very comfortable","Very uncomfortable","Uncomfortable","Very comfortable","Uncomfortable","Dissatisfied","Very satisfied","Very dissatisfied","Satisfied","Satisfied","Very satisfied","Very dissatisfied","Dissatisfied","Very satisfied","Very dissatisfied","Agree","Totally agree","Agree","","","Agree","Agree","","Agree","","Totally agree","Agree","Slower growth rates","Higher feed conversion ratios (less efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","","","","","Less marketable","Neither more nor less profitable","Definitely yes","Probably not","Probably yes","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Very Important","Important","Important","Important","Male","31-50","Pig farmer/pig farm manager","","","5000+","No","Probably yes","Wet feeding","No","electronic",11
"Less damaging to the environment","More nutritious","More variable in nutritional content","","A higher disease risk","Neither higher nor lower microbiological safety","","More ethical","Negative","Very positive","Negative","Neither positive nor negative","Positive","Very positive","Neither positive nor negative","Negative","Positive","Negative","Uncomfortable","Very comfortable","Uncomfortable","Comfortable","Comfortable","Very comfortable","Neither comfortable nor uncomfortable","Neither comfortable nor uncomfortable","Very comfortable","Neither comfortable nor uncomfortable","Neither satisfied nor dissatisfied","Very satisfied","Dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Very satisfied","Dissatisfied","Dissatisfied","Very satisfied","Neither satisfied nor dissatisfied","Totally agree","Totally agree","Totally agree","Agree","","Agree","Agree","Agree","Agree","Agree","Totally agree","Neither agree nor disagree","Neither faster nor slower growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Much better for the environment","Neither more nor less fatty","Darker in colour","Neither more nor less tasty","Worse smelling","Less marketable","More profitable","Probably yes","Probably not","Might or might not","Very Important","Important","Very Important","Very Important","Very Important","Important","Very Important","Neither important nor unimportant","Not important","Very Important","Very Important","Important","Male","50+","Pig farmer/pig farm manager","","","5000+","No","Might or might not","Dry feeding","No","electronic",15
"Much less damaging to the environment","Neither more or less nutritious","Neither more or less variable in nutritional content","","A higher disease risk","","Has higher chemical safety","Much more ethical","Neither positive nor negative","Very positive","Positive","Positive","Negative","Positive","Negative","Positive","Positive","Positive","Neither comfortable nor uncomfortable","Very comfortable","Comfortable","Comfortable","Comfortable","Very comfortable","Uncomfortable","Comfortable","Comfortable","Comfortable","Satisfied","Very satisfied","Satisfied","Satisfied","Satisfied","Very satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Totally agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Neither agree nor disagree","Agree","Agree","Agree","Disagree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Much better for the environment","More fatty","Darker in colour","More tasty","Worse smelling","Less marketable","Neither more nor less profitable","Definitely yes","Probably not","Probably yes","Important","Important","Important","Very Important","Very Important","Very Important","Neither important nor unimportant","Important","Important","Important","Important","Important","Male","50+","Pig farmer/pig farm manager","","","5000+","No","Probably not","Wet feeding","No","electronic",89
"Less damaging to the environment","Neither more or less nutritious","Neither more or less variable in nutritional content","Lower cost","A lower disease risk","Has lower microbiological safety","","More ethical","Positive","Positive","Positive","Positive","Neither positive nor negative","Positive","Negative","Positive","Positive","Positive","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Uncomfortable","Comfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Satisfied","Satisfied","Satisfied","Agree","Totally agree","Disagree","Totally agree","Totally agree","Disagree","Agree","Disagree","Disagree","Disagree","Totally agree","Disagree","Neither faster nor slower growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Much lower feed costs","Better for the environment","Neither more nor less fatty","Lighter in colour","","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Probably yes","Definitely not","Definitely yes","Neither important nor unimportant","Neither important nor unimportant","Important","Important","Important","Important","Very Important","Not important","Neither important nor unimportant","Important","Very Important","Important","Male","50+","Pig farmer/pig farm manager","","","1000-4999","No","Probably not","Dry feeding","No","electronic",28
"Less damaging to the environment","More nutritious","Much more variable in nutritional content","Lower cost","A much higher disease risk","Has lower microbiological safety","Has lower chemical safety","More ethical","Negative","Very positive","Negative","Positive","Negative","Positive","Very negative","Positive","Positive","Negative","Uncomfortable","Very comfortable","Neither comfortable nor uncomfortable","Comfortable","Uncomfortable","Very comfortable","Very uncomfortable","Comfortable","Very comfortable","Uncomfortable","Neither satisfied nor dissatisfied","Very satisfied","Dissatisfied","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Very dissatisfied","Very satisfied","Very satisfied","Neither satisfied nor dissatisfied","Agree","Totally agree","Agree","Totally agree","Agree","Agree","Agree","Neither agree nor disagree","Disagree","Agree","Totally agree","Agree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Much lower feed costs","Better for the environment","Neither more nor less fatty","","More tasty","Neither better nor worse smelling","Less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Important","Important","Important","Very Important","Neither important nor unimportant","Important","Important","Important","Important","Important","Very Important","Very Important","Male","50+","Pig farmer/pig farm manager","","","5000+","No","Probably yes","Wet feeding","No","electronic",11
"Less damaging to the environment","Neither more or less nutritious","More variable in nutritional content","Lower cost","A higher disease risk","Neither higher nor lower microbiological safety","Has higher chemical safety","Neither more or less ethical","Neither positive nor negative","Very positive","Negative","Negative","Very positive","Very positive","Negative","Negative","Very positive","Neither positive nor negative","Comfortable","Very comfortable","Uncomfortable","Uncomfortable","Neither comfortable nor uncomfortable","Very comfortable","Uncomfortable","Uncomfortable","Very comfortable","Neither comfortable nor uncomfortable","Satisfied","Very satisfied","Neither satisfied nor dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","Dissatisfied","Dissatisfied","Very satisfied","Neither satisfied nor dissatisfied","Agree","Totally agree","Agree","Totally agree","Totally agree","Disagree","Agree","Disagree","Disagree","Neither agree nor disagree","Totally agree","Totally disagree","Slower growth rates","Higher feed conversion ratios (less efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","More fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Important","Very Important","Very Important","Very Important","Very Important","Important","Important","Very Important","Important","Very Important","Very Important","Male","50+","Pig farmer/pig farm manager","","","5000+","No","Absolutely","Dry feeding","No","electronic",19
"Less damaging to the environment","Neither more or less nutritious","Neither more or less variable in nutritional content","Lower cost","A higher disease risk","Has higher microbiological safety","Has lower chemical safety","Neither more or less ethical","Negative","Very positive","Very negative","Negative","Very negative","Very positive","Very negative","Very negative","Neither positive nor negative","Negative","Very uncomfortable","Very comfortable","Very uncomfortable","Uncomfortable","Very uncomfortable","Very comfortable","Very uncomfortable","Very uncomfortable","Very comfortable","Very uncomfortable","Very dissatisfied","Very satisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Very satisfied","Very dissatisfied","Very dissatisfied","Very satisfied","Very dissatisfied","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Agree","Totally agree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Neither higher nor lower feed costs","Better for the environment","Much more fatty","Darker in colour","More tasty","Worse smelling","Much less marketable","More profitable","Definitely not","Definitely yes","Definitely not","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Important","Important","Not important","Male","31-50","Pig farmer/pig farm manager","","","5000+","No","Definitely not","Wet feeding","Yes","electronic",48
"Less damaging to the environment","More nutritious","More variable in nutritional content","Lower cost","A higher disease risk","Has lower microbiological safety","Has higher chemical safety","Less ethical","Negative","Neither positive nor negative","Negative","Very negative","Negative","Neither positive nor negative","Negative","Negative","Neither positive nor negative","Negative","Uncomfortable","Neither comfortable nor uncomfortable","Uncomfortable","Very uncomfortable","Uncomfortable","Neither comfortable nor uncomfortable","Uncomfortable","Uncomfortable","Neither comfortable nor uncomfortable","Uncomfortable","Dissatisfied","Neither satisfied nor dissatisfied","Dissatisfied","Very dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Dissatisfied","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Faster growth rates","Lower feed conversion ratios (more efficient)","Lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Less marketable","More profitable","Definitely not","Definitely yes","Definitely not","Very Important","Important","Important","Very Important","Very Important","Important","Not important","Important","Neither important nor unimportant","Not important","Not important","Not important","Male","31-50","Other: involved in the animal industry","Environmental officer ","","","","","","","electronic",30
